ID,Project,Department name,Department code,Owner,Close date,Usage Date,Wallclock,Units,Rate,Cost,Account
1270,,eddy,093203,rivase,11-30-2006,11-04-2006,1541922,428,0.11,47.11,51612
1271,,eddy,093203,rivase,11-30-2006,11-05-2006,942104,262,0.11,28.79,51612
1272,,eddy,093203,rivase,11-30-2006,11-06-2006,2706199,752,0.11,82.69,51612
1273,,eddy,093203,rivase,11-30-2006,11-07-2006,320044,89,0.11,9.78,51612
1274,,eddy,093203,rivase,11-30-2006,11-08-2006,183438,51,0.11,5.61,51612
1275,,eddy,093203,rivase,11-30-2006,11-10-2006,2545825,707,0.11,77.79,51612
1276,,eddy,093203,rivase,11-30-2006,11-13-2006,17299,5,0.11,0.53,51612
1277,,eddy,093203,rivase,11-30-2006,11-14-2006,12756,4,0.11,0.39,51612
1278,,eddy,093203,rivase,11-30-2006,11-15-2006,507769,141,0.11,15.52,51612
1279,,eddy,093203,rivase,11-30-2006,11-16-2006,5517155,1533,0.11,168.58,51612
1280,,eddy,093203,rivase,11-30-2006,11-17-2006,3551667,987,0.11,108.52,51612
1281,,eddy,093203,rivase,11-30-2006,11-18-2006,1755657,488,0.11,53.64,51612
1282,,eddy,093203,rivase,11-30-2006,11-19-2006,2094632,582,0.11,64.00,51612
1283,,eddy,093203,rivase,11-30-2006,11-20-2006,430240,120,0.11,13.15,51612
1284,,eddy,093203,rivase,11-30-2006,11-21-2006,1027974,286,0.11,31.41,51612
1285,,harris,093298,hessh,11-30-2006,11-01-2006,5277,1,0.11,0.16,51612
1286,,harris,093298,hessh,11-30-2006,11-02-2006,165,0,0.11,0.01,51612
1287,,harris,093298,hessh,11-30-2006,11-03-2006,2460,1,0.11,0.07,51612
1288,,harris,093298,hessh,11-30-2006,11-30-2006,4563,1,0.11,0.14,51612
1301,,eddy,093203,coventrya,12-31-2006,12-01-2006,131549,37,0.11,4.02,51612
1302,,eddy,093203,coventrya,12-31-2006,12-02-2006,317465,88,0.11,9.70,51612
1303,,eddy,093203,coventrya,12-31-2006,12-03-2006,656143,182,0.11,20.05,51612
1304,,eddy,093203,coventrya,12-31-2006,12-04-2006,360426,100,0.11,11.01,51612
1305,,eddy,093203,coventrya,12-31-2006,12-06-2006,296990,83,0.11,9.08,51612
1306,,eddy,093203,coventrya,12-31-2006,12-07-2006,391773,109,0.11,11.97,51612
1307,,eddy,093203,coventrya,12-31-2006,12-08-2006,1025924,285,0.11,31.35,51612
1308,,eddy,093203,coventrya,12-31-2006,12-09-2006,590549,164,0.11,18.04,51612
1309,,eddy,093203,coventrya,12-31-2006,12-10-2006,661542,184,0.11,20.21,51612
1310,,eddy,093203,coventrya,12-31-2006,12-13-2006,4288277,1191,0.11,131.03,51612
1311,,eddy,093203,coventrya,12-31-2006,12-14-2006,812583,226,0.11,24.83,51612
1312,,eddy,093203,coventrya,12-31-2006,12-15-2006,1780601,495,0.11,54.41,51612
1313,,eddy,093203,jungs,12-31-2006,12-02-2006,4347417,1208,0.11,132.84,51612
1314,,eddy,093203,jungs,12-31-2006,12-04-2006,9033024,2509,0.11,276.01,51612
1315,,eddy,093203,jungs,12-31-2006,12-06-2006,4682059,1301,0.11,143.06,51612
1316,,eddy,093203,jungs,12-31-2006,12-07-2006,4982994,1384,0.11,152.26,51612
1317,,eddy,093203,jungs,12-31-2006,12-08-2006,4919862,1367,0.11,150.33,51612
1318,,eddy,093203,jungs,12-31-2006,12-09-2006,5518351,1533,0.11,168.62,51612
1319,,eddy,093203,jungs,12-31-2006,12-11-2006,5139465,1428,0.11,157.04,51612
1320,,eddy,093203,jungs,12-31-2006,12-13-2006,5319010,1478,0.11,162.53,51612
1321,,eddy,093203,jungs,12-31-2006,12-14-2006,9525,3,0.11,0.29,51612
1322,,eddy,093203,jungs,12-31-2006,12-15-2006,140057898,38905,0.11,4279.55,51612
1323,,eddy,093203,jungs,12-31-2006,12-16-2006,21405935,5946,0.11,654.07,51612
1324,,eddy,093203,jungs,12-31-2006,12-17-2006,20831366,5786,0.11,636.51,51612
1325,,eddy,093203,jungs,12-31-2006,12-18-2006,103436306,28732,0.11,3160.55,51612
1326,,eddy,093203,jungs,12-31-2006,12-19-2006,85752086,23820,0.11,2620.20,51612
1327,,eddy,093203,jungs,12-31-2006,12-20-2006,19695694,5471,0.11,601.81,51612
1328,,eddy,093203,nawrockie,12-31-2006,12-01-2006,7295820,2027,0.11,222.93,51612
1329,,eddy,093203,nawrockie,12-31-2006,12-02-2006,7156318,1988,0.11,218.67,51612
1330,,eddy,093203,nawrockie,12-31-2006,12-03-2006,2007347,558,0.11,61.34,51612
1331,,eddy,093203,nawrockie,12-31-2006,12-04-2006,788418,219,0.11,24.09,51612
1332,,eddy,093203,nawrockie,12-31-2006,12-05-2006,9530,3,0.11,0.29,51612
1333,,eddy,093203,nawrockie,12-31-2006,12-06-2006,290131,81,0.11,8.86,51612
1334,,eddy,093203,nawrockie,12-31-2006,12-07-2006,595,0,0.11,0.02,51612
1335,,eddy,093203,nawrockie,12-31-2006,12-09-2006,7247503,2013,0.11,221.45,51612
1336,,eddy,093203,nawrockie,12-31-2006,12-10-2006,37941,11,0.11,1.16,51612
1337,,eddy,093203,nawrockie,12-31-2006,12-11-2006,7216,2,0.11,0.22,51612
1338,,eddy,093203,nawrockie,12-31-2006,12-12-2006,12599,4,0.11,0.39,51612
1339,,eddy,093203,nawrockie,12-31-2006,12-13-2006,64260,18,0.11,1.96,51612
1340,,eddy,093203,nawrockie,12-31-2006,12-14-2006,175861,49,0.11,5.37,51612
1341,,eddy,093203,nawrockie,12-31-2006,12-15-2006,10576,3,0.11,0.32,51612
1342,,eddy,093203,nawrockie,12-31-2006,12-16-2006,11,0,0.11,0.00,51612
1343,,eddy,093203,nawrockie,12-31-2006,12-18-2006,2160,1,0.11,0.07,51612
1344,,eddy,093203,nawrockie,12-31-2006,12-19-2006,676801,188,0.11,20.68,51612
1345,,eddy,093203,nawrockie,12-31-2006,12-20-2006,1417403,394,0.11,43.31,51612
1346,,eddy,093203,nawrockie,12-31-2006,12-21-2006,7842490,2178,0.11,239.63,51612
1347,,eddy,093203,nawrockie,12-31-2006,12-22-2006,21885,6,0.11,0.67,51612
1348,,eddy,093203,nawrockie,12-31-2006,12-27-2006,1158133,322,0.11,35.39,51612
1349,,eddy,093203,nawrockie,12-31-2006,12-28-2006,52261,15,0.11,1.60,51612
1350,,eddy,093203,nawrockie,12-31-2006,12-29-2006,36032,10,0.11,1.10,51612
1353,,eddy,093203,coventrya,01-31-2007,01-10-2007,19026,5,0.11,0.58,51612
1354,,eddy,093203,coventrya,01-31-2007,01-11-2007,40352,11,0.11,1.23,51612
1355,,eddy,093203,coventrya,01-31-2007,01-15-2007,308954,86,0.11,9.44,51612
1356,,eddy,093203,coventrya,01-31-2007,01-16-2007,412549,115,0.11,12.61,51612
1357,,eddy,093203,coventrya,01-31-2007,01-19-2007,6304033,1751,0.11,192.62,51612
1358,,eddy,093203,coventrya,01-31-2007,01-20-2007,11563453,3212,0.11,353.33,51612
1359,,eddy,093203,coventrya,01-31-2007,01-21-2007,8406882,2335,0.11,256.88,51612
1360,,eddy,093203,coventrya,01-31-2007,01-22-2007,5489990,1525,0.11,167.75,51612
1361,,eddy,093203,coventrya,01-31-2007,01-23-2007,4239790,1178,0.11,129.55,51612
1362,,eddy,093203,coventrya,01-31-2007,01-25-2007,4476942,1244,0.11,136.80,51612
1363,,eddy,093203,coventrya,01-31-2007,01-26-2007,4023730,1118,0.11,122.95,51612
1364,,eddy,093203,coventrya,01-31-2007,01-27-2007,8850185,2458,0.11,270.42,51612
1365,,eddy,093203,coventrya,01-31-2007,01-28-2007,73355,20,0.11,2.24,51612
1366,,eddy,093203,coventrya,01-31-2007,01-29-2007,4914730,1365,0.11,150.17,51612
1367,,eddy,093203,coventrya,01-31-2007,01-30-2007,11520060,3200,0.11,352.00,51612
1368,,eddy,093203,coventrya,01-31-2007,01-31-2007,5386443,1496,0.11,164.59,51612
1369,,eddy,093203,delvalc,01-31-2007,01-12-2007,3,0,0.11,0.00,51612
1370,,eddy,093203,jungs,01-31-2007,01-03-2007,1,0,0.11,0.00,51612
1371,,eddy,093203,jungs,01-31-2007,01-04-2007,24451359,6792,0.11,747.12,51612
1372,,eddy,093203,jungs,01-31-2007,01-05-2007,71201502,19778,0.11,2175.60,51612
1373,,eddy,093203,jungs,01-31-2007,01-07-2007,19480224,5411,0.11,595.23,51612
1374,,eddy,093203,jungs,01-31-2007,01-08-2007,3233687,898,0.11,98.81,51612
1375,,eddy,093203,jungs,01-31-2007,01-09-2007,84795118,23554,0.11,2590.96,51612
