ID,Project,Department name,Department code,Close date,Subject,Units,Rate,Cost,Account
208,,myers,093201,07-01-2008,Servers,1.0,50,50.00,51615
209,,peng,093309,07-01-2008,Primary storage (TB),2.0,624,1248.00,51610
210,,peng,093309,07-01-2008,Secondary storage (TB),2.0,180,360.00,51610
211,,peng,093309,07-01-2008,Servers,1.0,50,50.00,51615
212,,reiser,093303,07-01-2008,Primary storage (TB),1.0,624,624.00,51610
213,,rubin,093205,07-01-2008,Primary storage (TB),7.5,624,4680.00,51610
214,,rubin,093205,07-01-2008,Secondary storage (TB),1.0,180,180.00,51610
215,,rubin,093205,07-01-2008,Servers,3.0,50,150.00,51615
216,,simpson,093210,07-01-2008,Secondary storage (TB),8.0,180,1440.00,51610
217,,simpson,093210,07-01-2008,Servers,1.0,50,50.00,51615
218,,sternson,093206,07-01-2008,Servers,1.0,50,50.00,51615
219,,svoboda,093204,07-01-2008,Primary storage (TB),2.5,624,1560.00,51610
220,,svoboda,093204,07-01-2008,Secondary storage (TB),2.0,180,360.00,51610
221,,svoboda,093204,07-01-2008,Servers,1.0,50,50.00,51615
222,,truman,093212,07-01-2008,Primary storage (TB),3.0,624,1872.00,51610
223,,truman,093212,07-01-2008,Servers,1.0,50,50.00,51615
224,,baker,093215,08-01-2008,Primary storage (TB),1.0,624,624.00,51610
225,,betzig,093202,08-01-2008,Primary storage (TB),4.0,624,2496.00,51610
226,,betzig,093202,08-01-2008,Secondary storage (TB),1.0,180,180.00,51610
227,,chklovskii,093208,08-01-2008,Primary storage (TB),1.0,624,624.00,51610
228,,eddy,093203,08-01-2008,Direct Attached storage (TB),0.6,1850,1110.00,51610
229,,eddy,093203,08-01-2008,Primary storage (TB),0.5,624,312.00,51610
230,,eddy,093203,08-01-2008,Secondary storage (TB),1.6,180,288.00,51610
231,,eddy,093203,08-01-2008,Servers,18.0,50,900.00,51615
232,,elmicro,093093,08-01-2008,Secondary storage (TB),5.0,180,900.00,51610
233,,harris,093298,08-01-2008,Primary storage (TB),3.0,624,1872.00,51610
234,,harris,093298,08-01-2008,Secondary storage (TB),4.0,180,720.00,51610
235,,harris,093298,08-01-2008,Servers,1.0,50,50.00,51615
236,,instrdesapp,093097,08-01-2008,Secondary storage (TB),5.0,180,900.00,51610
237,,jayaraman,093305,08-01-2008,Primary storage (TB),3.0,624,1872.00,51610
238,,karpova,093211,08-01-2008,Primary storage (TB),3.0,624,1872.00,51610
239,,looger,093209,08-01-2008,Primary storage (TB),0.5,624,312.00,51610
240,,looger,093209,08-01-2008,Servers,1.0,50,50.00,51615
241,,myers,093201,08-01-2008,Primary storage (TB),1.0,624,624.00,51610
242,,myers,093201,08-01-2008,Servers,1.0,50,50.00,51615
243,,peng,093309,08-01-2008,Primary storage (TB),2.0,624,1248.00,51610
244,,peng,093309,08-01-2008,Secondary storage (TB),2.0,180,360.00,51610
245,,peng,093309,08-01-2008,Servers,1.0,50,50.00,51615
246,,reiser,093303,08-01-2008,Primary storage (TB),1.5,624,936.00,51610
247,,rubin,093205,08-01-2008,Primary storage (TB),8.0,624,4992.00,51610
248,,rubin,093205,08-01-2008,Secondary storage (TB),4.0,180,720.00,51610
249,,rubin,093205,08-01-2008,Servers,3.0,50,150.00,51615
250,,simpson,093210,08-01-2008,Secondary storage (TB),8.0,180,1440.00,51610
251,,simpson,093210,08-01-2008,Servers,1.0,50,50.00,51615
252,,sternson,093206,08-01-2008,Servers,1.0,50,50.00,51615
253,,svoboda,093204,08-01-2008,Primary storage (TB),2.5,624,1560.00,51610
254,,svoboda,093204,08-01-2008,Secondary storage (TB),2.0,180,360.00,51610
255,,svoboda,093204,08-01-2008,Servers,1.0,50,50.00,51615
256,,truman,093212,08-01-2008,Primary storage (TB),3.0,624,1872.00,51610
257,,truman,093212,08-01-2008,Servers,1.0,50,50.00,51615
258,,baker,093215,09-01-2008,Primary storage (TB),1.0,624,624.00,51610
259,,betzig,093202,09-01-2008,Primary storage (TB),4.0,624,2496.00,51610
260,,betzig,093202,09-01-2008,Secondary storage (TB),1.0,180,180.00,51610
261,,chklovskii,093208,09-01-2008,Primary storage (TB),1.0,624,624.00,51610
262,,chklovskii,093208,09-01-2008,Secondary storage (TB),2.0,180,360.00,51610
263,,chklovskii,093208,09-01-2008,System Engineer Time,4.0,80,320.00,51610
264,,egnor,093308,09-01-2008,Primary storage (TB),4.0,624,2496.00,51610
265,,eddy,093203,09-01-2008,Direct Attached storage (TB),1.0,1850,1850.00,51610
266,,eddy,093203,09-01-2008,Primary storage (TB),1.0,624,624.00,51610
267,,eddy,093203,09-01-2008,Secondary storage (TB),1.6,180,288.00,51610
268,,eddy,093203,09-01-2008,Servers,19.0,50,950.00,51615
269,,eddy,093203,09-01-2008,System Engineer Time,8.0,80,640.00,51610
270,,elmicro,093093,09-01-2008,Secondary storage (TB),9.0,180,1620.00,51610
271,,elmicro,093093,09-01-2008,Servers,1.0,50,50.00,51615
275,,imaging,093095,09-01-2008,Primary storage (TB),3.0,624,1872.00,51610
276,,instrdesapp,093097,09-01-2008,Secondary storage (TB),4.0,180,720.00,51610
277,,jayaraman,093305,09-01-2008,Primary storage (TB),3.0,624,1872.00,51610
278,,karpova,093211,09-01-2008,Primary storage (TB),3.0,624,1872.00,51610
279,,looger,093209,09-01-2008,Primary storage (TB),0.5,624,312.00,51610
280,,looger,093209,09-01-2008,Servers,1.0,50,50.00,51615
281,,myers,093201,09-01-2008,Primary storage (TB),1.0,624,624.00,51610
282,,myers,093201,09-01-2008,Servers,1.0,50,50.00,51615
283,,peng,093309,09-01-2008,Primary storage (TB),2.0,624,1248.00,51610
284,,peng,093309,09-01-2008,Secondary storage (TB),2.0,180,360.00,51610
285,,peng,093309,09-01-2008,Servers,1.0,50,50.00,51615
286,,reiser,093303,09-01-2008,Primary storage (TB),3.0,624,1872.00,51610
287,,rubin,093205,09-01-2008,Primary storage (TB),8.0,624,4992.00,51610
288,,rubin,093205,09-01-2008,Secondary storage (TB),4.0,180,720.00,51610
289,,rubin,093205,09-01-2008,Servers,3.0,50,150.00,51615
290,,simpson,093210,09-01-2008,Secondary storage (TB),8.0,180,1440.00,51610
291,,simpson,093210,09-01-2008,Servers,1.0,50,50.00,51615
292,,sternson,093206,09-01-2008,Servers,1.0,50,50.00,51615
293,,svoboda,093204,09-01-2008,Primary storage (TB),3.0,624,1872.00,51610
294,,svoboda,093204,09-01-2008,Secondary storage (TB),2.0,180,360.00,51610
295,,svoboda,093204,09-01-2008,Servers,1.0,50,50.00,51615
296,,adminfinance,093021,09-01-2008,Servers,1.0,50,50.00,51615
297,,adminfinance,093021,09-01-2008,System Engineer Time,2.0,80,160.00,51610
298,,truman,093212,09-01-2008,Primary storage (TB),4.0,624,2496.00,51610
299,,truman,093212,09-01-2008,Servers,1.0,50,50.00,51615
300,,baker,093215,10-01-2008,Primary storage (TB),1.0,624,624.00,51610
301,,betzig,093202,10-01-2008,Primary storage (TB),4.0,624,2496.00,51610
302,,betzig,093202,10-01-2008,Secondary storage (TB),1.0,180,180.00,51610
303,,chklovskii,093208,10-01-2008,Primary storage (TB),3.0,624,1872.00,51610
304,,chklovskii,093208,10-01-2008,Secondary storage (TB),1.0,180,180.00,51610
305,,egnor,093308,10-01-2008,Primary storage (TB),4.0,624,2496.00,51610
306,,eddy,093203,10-01-2008,Direct Attached storage (TB),1.0,1850,1850.00,51610
307,,eddy,093203,10-01-2008,Primary storage (TB),1.5,624,936.00,51610
308,,eddy,093203,10-01-2008,Secondary storage (TB),1.6,180,288.00,51610
309,,eddy,093203,10-01-2008,Servers,19.0,50,950.00,51615
310,,eddy,093203,10-01-2008,System Engineer Time,8.0,80,640.00,51610
311,,elmicro,093093,10-01-2008,Secondary storage (TB),9.0,180,1620.00,51610
312,,elmicro,093093,10-01-2008,Servers,1.0,50,50.00,51615
313,,harris,093298,10-01-2008,Primary storage (TB),3.0,624,1872.00,51610
314,,harris,093298,10-01-2008,Secondary storage (TB),4.0,180,720.00,51610
315,,harris,093298,10-01-2008,Servers,1.0,50,50.00,51615
316,,imaging,093095,10-01-2008,Primary storage (TB),4.0,624,2496.00,51610
317,,instrdesapp,093097,10-01-2008,Secondary storage (TB),4.0,180,720.00,51610
318,,jayaraman,093305,10-01-2008,Primary storage (TB),3.0,624,1872.00,51610
319,,karpova,093211,10-01-2008,Primary storage (TB),3.0,624,1872.00,51610
320,,looger,093209,10-01-2008,Primary storage (TB),0.5,624,312.00,51610
321,,looger,093209,10-01-2008,Servers,1.0,50,50.00,51615
322,,myers,093201,10-01-2008,Primary storage (TB),1.0,624,624.00,51610
323,,myers,093201,10-01-2008,Servers,1.0,50,50.00,51615
324,,peng,093309,10-01-2008,Primary storage (TB),3.0,624,1872.00,51610
325,,peng,093309,10-01-2008,Secondary storage (TB),2.0,180,360.00,51610
326,,peng,093309,10-01-2008,Servers,1.0,50,50.00,51615
327,,peng,093309,10-01-2008,System Engineer Time,2.0,80,160.00,51610
328,,reiser,093303,10-01-2008,Primary storage (TB),3.0,624,1872.00,51610
329,JVS001201,visscien,093400,10-01-2008,Primary storage (TB),3.0,624,1872.00,51610
330,,rubin,093205,10-01-2008,Primary storage (TB),8.5,624,5304.00,51610
331,,rubin,093205,10-01-2008,Secondary storage (TB),4.5,180,810.00,51610
332,,rubin,093205,10-01-2008,Servers,3.0,50,150.00,51615
333,,rubin,093205,10-01-2008,System Engineer Time,2.0,80,160.00,51610
334,,shank,093402,10-01-2008,Primary storage (TB),1.0,624,624.00,51610
335,,simpson,093210,10-01-2008,Secondary storage (TB),8.0,180,1440.00,51610
336,,simpson,093210,10-01-2008,Servers,1.0,50,50.00,51615
337,,sternson,093206,10-01-2008,Servers,1.0,50,50.00,51615
338,,svoboda,093204,10-01-2008,Primary storage (TB),3.0,624,1872.00,51610
339,,svoboda,093204,10-01-2008,Secondary storage (TB),4.5,180,810.00,51610
340,,svoboda,093204,10-01-2008,Servers,1.0,50,50.00,51615
341,,adminfinance,093021,10-01-2008,Servers,1.0,50,50.00,51615
342,,adminfinance,093021,10-01-2008,System Engineer Time,8.0,80,640.00,51610
343,,truman,093212,10-01-2008,Primary storage (TB),4.0,624,2496.00,51610
344,,truman,093212,10-01-2008,Secondary storage (TB),4.0,180,720.00,51610
